layer_tag,block_name,transrate,feature_dim,n_samples,model,weight,is_random,order
L,layer4.2,609.9284905418635,2048,31588,wide_resnet101_2,IMAGENET1K_V2,False,0
L-1,layer4.1,419.89190320857506,2048,31588,wide_resnet101_2,IMAGENET1K_V2,False,1
L-2,layer4.0,427.72725794548023,2048,31588,wide_resnet101_2,IMAGENET1K_V2,False,2
L-3,layer3.22,190.95529497978805,1024,31588,wide_resnet101_2,IMAGENET1K_V2,False,3
L-4,layer3.21,190.96994217995552,1024,31588,wide_resnet101_2,IMAGENET1K_V2,False,4
L-5,layer3.20,191.09249086931186,1024,31588,wide_resnet101_2,IMAGENET1K_V2,False,5
L-6,layer3.19,191.93479250137307,1024,31588,wide_resnet101_2,IMAGENET1K_V2,False,6
